id,calories,protein,fat,carbs
dish_1558461431,1.15,0.145,0.02,0.18
dish_1558460205,1.84,0.232,0.032,0.288
dish_1560441247,2.21,0.255,0.034,0.374
dish_1558548958,2.3,0.29,0.04,0.36
dish_1558549773,2.3,0.29,0.04,0.36
dish_1565727738,2.52,0.198,0.036,0.477
dish_1558546434,2.53,0.319,0.044,0.396
dish_1558547068,2.53,0.319,0.044,0.396
dish_1559157777,2.53,0.319,0.044,0.396
dish_1558462036,2.99,0.377,0.052,0.468
dish_1559158425,2.99,0.377,0.052,0.468
dish_1562959295,3.04,0.133,0.019,0.646
dish_1558458438,3.22,0.406,0.056,0.504
dish_1558640563,4.14,0.207,0.046,0.897
dish_1558376801,4.2,0.33,0.06,0.795
dish_1558629644,4.2,0.33,0.06,0.795
dish_1556575124,4.48,0.196,0.056,0.952
dish_1565810969,4.6,0.58,0.08,0.72
dish_1558640917,5.25,0.378,0.063,1.05
dish_1557862829,5.52,0.696,0.096,0.864
dish_1562959344,5.54,0.383,0.019,1.146
dish_1562096343,6.2,0.62,0.0,1.24
dish_1558638924,6.25,0.45,0.075,1.25
dish_1556573514,6.44,0.506,0.092,1.219
dish_1562701956,6.84,0.342,0.076,1.482
dish_1557937615,6.93,0.147,0.063,1.68
dish_1558468547,6.97,0.306,0.102,1.156
dish_1558116399,7.0,0.55,0.1,1.325
dish_1558630288,7.106,0.671,0.374,0.352
dish_1562872150,7.48,1.054,0.102,1.122
dish_1560366963,7.56,0.378,0.084,1.638
dish_1558380804,7.56,0.594,0.108,1.431
dish_1558113430,7.84,0.616,0.112,1.484
dish_1560370114,7.956,0.858,0.039,1.521
dish_1558722434,8.46,0.423,0.094,1.833
dish_1559319902,8.5,0.085,0.017,2.21
dish_1560802562,8.853207,0.247945,0.49063,0.966137
dish_1558628956,9.044001,0.854,0.476,0.448
dish_1559239151,9.2,1.16,0.16,1.44
dish_1562872365,9.879999,1.14,0.152,1.672
dish_1560454970,9.900001,0.495,0.11,2.145
dish_1558460138,10.08,0.504,0.112,2.184
dish_1558718587,10.25,0.738,0.123,2.05
dish_1558723639,10.25,0.738,0.123,2.05
dish_1558639907,10.440001,0.522,0.116,2.262
dish_1558722842,10.440001,0.522,0.116,2.262
dish_1562094621,10.54,0.612,0.034,2.38
dish_1558640808,10.66,0.234,0.052,2.6
dish_1558459020,10.98,0.549,0.122,2.379
dish_1558461760,10.98,0.549,0.122,2.379
dish_1558637214,11.04,0.112,0.032,2.88
dish_1558721484,11.160001,0.558,0.124,2.418
dish_1558721959,11.160001,0.558,0.124,2.418
dish_1559841950,11.2,0.768,0.128,2.24
dish_1559846034,11.2,0.768,0.128,2.24
dish_1563305837,11.431157,0.867943,0.446888,1.173633
dish_1558459528,11.52,0.576,0.128,2.496
dish_1558641287,11.52,0.576,0.128,2.496
dish_1568400935,11.76,0.924,0.168,2.226
dish_1557936645,11.88,0.252,0.108,2.88
dish_1559589873,11.88,1.674,0.162,1.782
dish_1566501258,12.0,0.33,0.03,2.7
dish_1561661972,12.09,0.702,0.039,2.73
dish_1558468589,12.1,1.705,0.165,1.815
dish_1558637698,12.25,0.882,0.147,2.45
dish_1558031351,12.3,0.246,0.041,3.116
dish_1558468285,12.32,0.968,0.176,2.332
dish_1558641075,12.42,0.621,0.138,2.691
dish_1558630038,12.75,0.918,0.153,2.55
dish_1560455000,12.800001,0.785,0.11,2.725
dish_1559585533,12.95,0.888,0.148,2.59
dish_1558462531,12.960001,0.648,0.144,2.808
dish_1558723960,13.0,0.936,0.156,2.6
dish_1565382969,13.110001,1.653,0.228,2.052
dish_1557861697,13.144,0.53,0.106,3.127
dish_1558721931,13.25,0.954,0.159,2.65
dish_1558376437,13.26,0.312,0.078,3.12
dish_1565808943,13.320001,0.666,0.148,2.886
dish_1559675101,13.33,1.054,0.093,2.79
dish_1560801773,13.5,0.972,0.162,2.7
dish_1558373405,13.6,0.32,0.08,3.2
dish_1557861795,13.64,0.992,0.651,1.333
dish_1561492628,13.64,0.992,0.651,1.333
dish_1558114937,13.72,1.078,0.196,2.597
dish_1568313487,13.72,1.078,0.196,2.597
dish_1558381943,13.8,1.74,0.24,2.16
dish_1563302315,13.86,1.953,0.189,2.079
dish_1564170071,14.0,0.385,0.035,3.15
dish_1566413321,14.030001,1.769,0.244,2.196
dish_1560444869,14.040001,0.195,0.039,3.51
dish_1558720133,14.25,1.026,0.171,2.85
dish_1559245920,14.25,1.026,0.171,2.85
dish_1567007719,14.28,0.336,0.084,3.36
dish_1558640418,14.349999,0.315,0.07,3.5
dish_1562615070,14.471023,0.443896,0.641184,1.676942
dish_1558640748,14.5,1.044,0.174,2.9
dish_1558723537,14.5,1.044,0.174,2.9
dish_1561664977,14.57,0.846,0.047,3.29
dish_1565987015,14.72,1.856,0.256,2.304
dish_1558723866,14.75,1.062,0.177,2.95
dish_1566332040,14.95,1.885,0.26,2.34
dish_1558722665,15.0,1.08,0.18,3.0
dish_1558722871,15.0,1.08,0.18,3.0
dish_1558722883,15.0,1.08,0.18,3.0
dish_1560529804,15.3,0.306,0.102,3.876
dish_1565033085,15.4,1.21,0.22,2.915
dish_1561576887,15.500784,0.460784,0.552941,2.718627
dish_1563824065,15.51,0.968,0.242,2.882
dish_1565035715,15.6,0.429,0.039,3.51
dish_1558720335,15.64,0.368,0.092,3.68
